Graph,True,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize,Expert,Decision
46,0,0,0,0.2,0,0.1,3,5,0,B,0
46,0,0,0,0.2,0,0.1,3,5,0,C,0
46,0,0,0,0.2,0,0.1,3,5,0,D,0
46,0,0,0,0.2,0,0.1,3,5,0,E,0
47,1,0,0,0,0,0.25,3,5,1,A,0
47,1,0,0,0,0,0.25,3,5,1,B,0
47,1,0,0,0,0,0.25,3,5,1,C,0
47,1,0,0,0,0,0.25,3,5,1,D,0
47,1,0,0,0,0,0.25,3,5,1,E,0
48,1,1,1,0,30,0.1,3,5,4,A,1
48,1,1,1,0,30,0.1,3,5,4,B,1
48,1,1,1,0,30,0.1,3,5,4,C,0
48,1,1,1,0,30,0.1,3,5,4,D,1
48,1,1,1,0,30,0.1,3,5,4,E,1
49,1,0,1,0.2,0,0.1,3,10,4,A,1
49,1,0,1,0.2,0,0.1,3,10,4,B,0
49,1,0,1,0.2,0,0.1,3,10,4,C,0
49,1,0,1,0.2,0,0.1,3,10,4,D,0
49,1,0,1,0.2,0,0.1,3,10,4,E,0
50,1,1,0,0,0,0.1,5,10,1,A,0
50,1,1,0,0,0,0.1,5,10,1,B,0
50,1,1,0,0,0,0.1,5,10,1,C,0
50,1,1,0,0,0,0.1,5,10,1,D,0
50,1,1,0,0,0,0.1,5,10,1,E,0
51,0,0,0,0.2,30,0.25,5,5,0,A,0
51,0,0,0,0.2,30,0.25,5,5,0,B,0
51,0,0,0,0.2,30,0.25,5,5,0,C,0
51,0,0,0,0.2,30,0.25,5,5,0,D,0
51,0,0,0,0.2,30,0.25,5,5,0,E,0
52,1,1,0,0.2,30,0.1,5,5,1,A,1
52,1,1,0,0.2,30,0.1,5,5,1,B,0
52,1,1,0,0.2,30,0.1,5,5,1,C,0
52,1,1,0,0.2,30,0.1,5,5,1,D,0
52,1,1,0,0.2,30,0.1,5,5,1,E,0
53,1,1,1,0.2,30,0.1,5,10,5,A,1
53,1,1,1,0.2,30,0.1,5,10,5,B,0
53,1,1,1,0.2,30,0.1,5,10,5,C,0
53,1,1,1,0.2,30,0.1,5,10,5,D,0
53,1,1,1,0.2,30,0.1,5,10,5,E,1
54,1,0,0,0.2,30,0.1,3,5,1,A,0
54,1,0,0,0.2,30,0.1,3,5,1,B,0
54,1,0,0,0.2,30,0.1,3,5,1,C,0
54,1,0,0,0.2,30,0.1,3,5,1,D,0
54,1,0,0,0.2,30,0.1,3,5,1,E,0
55,1,1,1,0,0,0.25,5,10,5,A,1
55,1,1,1,0,0,0.25,5,10,5,B,1
55,1,1,1,0,0,0.25,5,10,5,C,1
55,1,1,1,0,0,0.25,5,10,5,D,1
55,1,1,1,0,0,0.25,5,10,5,E,1
56,0,0,0,0,0,0.1,5,5,0,A,0
56,0,0,0,0,0,0.1,5,5,0,B,0
56,0,0,0,0,0,0.1,5,5,0,C,0
56,0,0,0,0,0,0.1,5,5,0,D,0
56,0,0,0,0,0,0.1,5,5,0,E,0
57,1,1,1,0,30,0.1,3,5,3,A,1
57,1,1,1,0,30,0.1,3,5,3,B,1
57,1,1,1,0,30,0.1,3,5,3,C,1
57,1,1,1,0,30,0.1,3,5,3,D,1
57,1,1,1,0,30,0.1,3,5,3,E,1
58,1,1,1,0.2,0,0.25,5,5,4,A,1
58,1,1,1,0.2,0,0.25,5,5,4,B,1
58,1,1,1,0.2,0,0.25,5,5,4,C,1
58,1,1,1,0.2,0,0.25,5,5,4,D,1
58,1,1,1,0.2,0,0.25,5,5,4,E,1
59,1,1,1,0.2,30,0.1,3,5,4,A,1
59,1,1,1,0.2,30,0.1,3,5,4,B,0
59,1,1,1,0.2,30,0.1,3,5,4,C,1
59,1,1,1,0.2,30,0.1,3,5,4,D,1
59,1,1,1,0.2,30,0.1,3,5,4,E,1
60,1,1,1,0.2,30,0.1,3,5,5,A,1
60,1,1,1,0.2,30,0.1,3,5,5,B,0
60,1,1,1,0.2,30,0.1,3,5,5,C,0
60,1,1,1,0.2,30,0.1,3,5,5,D,0
60,1,1,1,0.2,30,0.1,3,5,5,E,0
61,0,0,0,0.2,0,0.25,3,10,0,A,0
61,0,0,0,0.2,0,0.25,3,10,0,B,0
61,0,0,0,0.2,0,0.25,3,10,0,C,0
61,0,0,0,0.2,0,0.25,3,10,0,D,0
61,0,0,0,0.2,0,0.25,3,10,0,E,0
62,1,1,1,0.2,0,0.1,3,10,5,A,1
62,1,1,1,0.2,0,0.1,3,10,5,B,1
62,1,1,1,0.2,0,0.1,3,10,5,C,1
62,1,1,1,0.2,0,0.1,3,10,5,D,1
62,1,1,1,0.2,0,0.1,3,10,5,E,1
63,1,1,1,0,30,0.25,5,10,4,A,1
63,1,1,1,0,30,0.25,5,10,4,B,1
63,1,1,1,0,30,0.25,5,10,4,C,1
63,1,1,1,0,30,0.25,5,10,4,D,1
63,1,1,1,0,30,0.25,5,10,4,E,1
64,1,1,0,0,0,0.1,3,10,1,A,0
64,1,1,0,0,0,0.1,3,10,1,B,0
64,1,1,0,0,0,0.1,3,10,1,C,0
64,1,1,0,0,0,0.1,3,10,1,D,0
64,1,1,0,0,0,0.1,3,10,1,E,0
65,1,1,0,0,30,0.1,3,5,2,A,1
65,1,1,0,0,30,0.1,3,5,2,B,0
65,1,1,0,0,30,0.1,3,5,2,C,0
65,1,1,0,0,30,0.1,3,5,2,D,0
65,1,1,0,0,30,0.1,3,5,2,E,0
66,1,1,1,0,0,0.1,3,10,2,A,0
66,1,1,1,0,0,0.1,3,10,2,B,0
66,1,1,1,0,0,0.1,3,10,2,C,0
66,1,1,1,0,0,0.1,3,10,2,D,0
66,1,1,1,0,0,0.1,3,10,2,E,0
67,0,0,1,0,30,0.25,3,10,0,A,1
67,0,0,1,0,30,0.25,3,10,0,B,0
67,0,0,1,0,30,0.25,3,10,0,C,0
67,0,0,1,0,30,0.25,3,10,0,D,0
67,0,0,1,0,30,0.25,3,10,0,E,0
68,1,0,1,0.2,30,0.25,3,10,3,A,1
68,1,0,1,0.2,30,0.25,3,10,3,B,0
68,1,0,1,0.2,30,0.25,3,10,3,C,0
68,1,0,1,0.2,30,0.25,3,10,3,D,1
68,1,0,1,0.2,30,0.25,3,10,3,E,0
69,0,0,0,0,30,0.25,3,5,0,A,0
69,0,0,0,0,30,0.25,3,5,0,B,0
69,0,0,0,0,30,0.25,3,5,0,C,0
69,0,0,0,0,30,0.25,3,5,0,D,0
69,0,0,0,0,30,0.25,3,5,0,E,0
70,0,0,0,0.2,30,0.25,5,5,0,A,1
70,0,0,0,0.2,30,0.25,5,5,0,B,0
70,0,0,0,0.2,30,0.25,5,5,0,C,0
70,0,0,0,0.2,30,0.25,5,5,0,D,1
70,0,0,0,0.2,30,0.25,5,5,0,E,0
71,1,1,0,0,30,0.25,3,10,1,A,1
71,1,1,0,0,30,0.25,3,10,1,B,1
71,1,1,0,0,30,0.25,3,10,1,C,1
71,1,1,0,0,30,0.25,3,10,1,D,1
71,1,1,0,0,30,0.25,3,10,1,E,1
72,0,0,0,0,30,0.25,3,5,0,A,1
72,0,0,0,0,30,0.25,3,5,0,B,0
72,0,0,0,0,30,0.25,3,5,0,C,0
72,0,0,0,0,30,0.25,3,5,0,D,0
72,0,0,0,0,30,0.25,3,5,0,E,0
73,0,0,0,0,0,0.25,3,10,0,A,0
73,0,0,0,0,0,0.25,3,10,0,B,0
73,0,0,0,0,0,0.25,3,10,0,C,0
73,0,0,0,0,0,0.25,3,10,0,D,0
73,0,0,0,0,0,0.25,3,10,0,E,0
74,1,1,1,0,30,0.1,3,5,5,A,1
74,1,1,1,0,30,0.1,3,5,5,B,1
74,1,1,1,0,30,0.1,3,5,5,C,1
74,1,1,1,0,30,0.1,3,5,5,D,1
74,1,1,1,0,30,0.1,3,5,5,E,1
75,1,1,1,0.2,0,0.25,5,10,5,A,1
75,1,1,1,0.2,0,0.25,5,10,5,B,1
75,1,1,1,0.2,0,0.25,5,10,5,C,1
75,1,1,1,0.2,0,0.25,5,10,5,D,1
75,1,1,1,0.2,0,0.25,5,10,5,E,1
76,1,1,0,0.2,30,0.25,3,5,3,A,1
76,1,1,0,0.2,30,0.25,3,5,3,B,0
76,1,1,0,0.2,30,0.25,3,5,3,C,0
76,1,1,0,0.2,30,0.25,3,5,3,D,1
76,1,1,0,0.2,30,0.25,3,5,3,E,0
77,0,0,0,0,0,0.1,5,10,0,A,0
77,0,0,0,0,0,0.1,5,10,0,B,0
77,0,0,0,0,0,0.1,5,10,0,C,0
77,0,0,0,0,0,0.1,5,10,0,D,0
77,0,0,0,0,0,0.1,5,10,0,E,0
78,1,0,0,0,0,0.1,3,10,1,A,0
78,1,0,0,0,0,0.1,3,10,1,B,0
78,1,0,0,0,0,0.1,3,10,1,C,0
78,1,0,0,0,0,0.1,3,10,1,D,0
78,1,0,0,0,0,0.1,3,10,1,E,0
79,1,1,1,0,0,0.1,5,10,2,A,0
79,1,1,1,0,0,0.1,5,10,2,B,0
79,1,1,1,0,0,0.1,5,10,2,C,0
79,1,1,1,0,0,0.1,5,10,2,D,0
79,1,1,1,0,0,0.1,5,10,2,E,1
80,1,1,1,0,30,0.25,3,5,5,A,1
80,1,1,1,0,30,0.25,3,5,5,B,1
80,1,1,1,0,30,0.25,3,5,5,C,0
80,1,1,1,0,30,0.25,3,5,5,D,1
80,1,1,1,0,30,0.25,3,5,5,E,1
81,0,0,0,0.2,0,0.1,3,5,0,A,0
81,0,0,0,0.2,0,0.1,3,5,0,B,0
81,0,0,0,0.2,0,0.1,3,5,0,C,0
81,0,0,0,0.2,0,0.1,3,5,0,D,0
81,0,0,0,0.2,0,0.1,3,5,0,E,0
82,1,1,1,0,30,0.25,3,10,4,A,1
82,1,1,1,0,30,0.25,3,10,4,B,1
82,1,1,1,0,30,0.25,3,10,4,C,1
82,1,1,1,0,30,0.25,3,10,4,D,1
82,1,1,1,0,30,0.25,3,10,4,E,1
83,1,1,1,0,0,0.25,5,10,2,A,1
83,1,1,1,0,0,0.25,5,10,2,B,0
83,1,1,1,0,0,0.25,5,10,2,C,0
83,1,1,1,0,0,0.25,5,10,2,D,1
83,1,1,1,0,0,0.25,5,10,2,E,0
84,1,1,1,0.2,0,0.1,3,10,5,A,1
84,1,1,1,0.2,0,0.1,3,10,5,B,1
84,1,1,1,0.2,0,0.1,3,10,5,C,1
84,1,1,1,0.2,0,0.1,3,10,5,D,1
84,1,1,1,0.2,0,0.1,3,10,5,E,1
85,1,0,1,0.2,30,0.25,3,10,5,A,1
85,1,0,1,0.2,30,0.25,3,10,5,B,0
85,1,0,1,0.2,30,0.25,3,10,5,C,0
85,1,0,1,0.2,30,0.25,3,10,5,D,1
85,1,0,1,0.2,30,0.25,3,10,5,E,0
86,1,0,0,0.2,0,0.25,5,5,2,A,1
86,1,0,0,0.2,0,0.25,5,5,2,B,1
86,1,0,0,0.2,0,0.25,5,5,2,C,0
86,1,0,0,0.2,0,0.25,5,5,2,D,1
86,1,0,0,0.2,0,0.25,5,5,2,E,1
87,1,0,0,0.2,30,0.1,5,10,1,A,1
87,1,0,0,0.2,30,0.1,5,10,1,B,0
87,1,0,0,0.2,30,0.1,5,10,1,C,0
87,1,0,0,0.2,30,0.1,5,10,1,D,0
