Graph, True,ExpertA,ExpertB,ExpertC,ExpertD,ExpertE,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize
296,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
297,1,0,0,0,0,0,0,1,0,0,0.1,3,5,3
298,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
299,1,1,0,0,0,1,1,1,0.2,30,0.1,3,5,2
300,1,1,0,0,0,0,0,0,0.2,0,0.1,5,5,2
301,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
302,1,0,0,0,0,0,0,0,0,30,0.1,5,5,1
303,1,1,1,1,1,1,1,1,0,30,0.25,3,10,2
304,1,0,0,0,0,0,0,0,0,0,0.25,3,10,1
305,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
306,0,1,0,0,1,0,0,0,0,30,0.25,3,10,0
307,0,0,0,0,0,0,0,0,0.2,30,0.1,3,10,0
308,1,0,0,0,0,0,0,0,0.2,0,0.25,3,10,2
309,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
310,0,1,1,1,1,1,1,1,0.2,30,0.25,5,5,0
311,0,1,1,1,1,1,1,0,0,30,0.1,3,10,0
312,1,1,1,1,1,0,0,1,0,30,0.1,5,5,4
313,1,1,1,1,1,1,1,1,0.2,0,0.1,3,5,5
314,1,1,1,1,1,1,1,1,0,0,0.25,3,10,2
315,1,1,1,0,1,1,1,1,0,30,0.1,3,10,3
316,1,1,1,1,1,1,1,1,0,30,0.25,3,5,3
317,1,1,0,0,0,0,0,0,0.2,30,0.25,5,10,1
318,1,0,0,0,0,0,0,1,0.2,0,0.1,3,5,2
319,1,1,1,1,1,0,1,1,0,30,0.25,3,5,2
320,1,1,0,0,0,0,1,0,0.2,0,0.25,5,5,2
321,1,1,1,1,1,1,1,1,0,30,0.25,5,5,5
322,1,0,0,0,0,1,1,1,0,0,0.1,5,5,2
323,1,1,0,0,1,1,1,1,0.2,0,0.1,5,10,5
324,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
325,1,0,0,0,0,0,0,1,0,0,0.1,5,10,2
326,1,1,1,1,1,1,1,1,0,30,0.25,3,5,4
327,1,0,0,0,0,0,0,0,0.2,0,0.1,3,5,2
328,0,1,0,0,0,0,0,0,0,30,0.25,3,10,0
329,1,1,1,0,1,1,1,1,0,30,0.1,5,5,1
330,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,3
331,1,0,0,0,0,1,1,1,0.2,0,0.1,5,5,2
332,0,0,0,0,0,0,0,0,0,30,0.25,3,5,0
333,1,1,1,1,1,1,1,1,0,30,0.25,3,10,4
334,1,1,0,0,1,1,1,1,0.2,0,0.1,5,5,3
335,1,1,1,1,1,1,1,1,0.2,0,0.1,3,10,4
336,0,0,0,0,0,0,0,0,0,30,0.25,3,5,0
337,0,1,0,0,0,0,0,0,0,30,0.25,5,10,0
338,1,1,0,0,1,1,1,0,0.2,30,0.1,3,10,3
339,1,1,0,0,0,1,1,0,0,30,0.1,3,10,1
340,1,1,0,0,0,1,1,0,0.2,30,0.1,3,5,3
341,1,1,0,0,0,0,1,0,0.2,0,0.25,5,5,3
342,1,1,1,1,1,1,1,1,0,30,0.1,3,10,3
343,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,4
344,1,1,1,0,1,0,1,1,0,30,0.1,5,5,1
345,1,1,1,0,0,0,0,1,0,30,0.1,3,10,2
346,1,1,0,0,1,0,1,1,0,30,0.1,5,10,1
347,1,0,0,0,0,0,0,0,0.2,0,0.25,5,10,1
348,1,1,0,0,1,1,1,0,0,30,0.1,5,10,1
349,1,1,0,0,1,0,0,1,0.2,30,0.1,5,5,2
350,0,1,0,0,1,0,1,0,0,30,0.1,5,10,0
351,1,1,1,1,1,0,0,1,0.2,0,0.25,3,10,5
352,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
353,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
354,1,1,1,1,1,1,1,1,0,0,0.1,5,10,5
355,1,1,0,0,1,0,0,1,0.2,30,0.25,5,10,1
356,0,1,0,0,0,0,0,0,0,30,0.1,3,10,0
357,1,1,1,1,1,1,1,1,0,30,0.25,5,10,2
358,1,0,0,0,0,0,0,0,0.2,0,0.25,3,5,1
359,0,1,1,1,1,1,1,1,0,30,0.25,3,5,0
360,1,1,0,0,0,0,1,0,0,30,0.25,5,10,2
361,1,1,1,1,1,1,1,1,0,30,0.25,5,10,4
362,1,1,1,1,1,1,1,1,0.2,30,0.25,5,10,4
363,1,1,0,1,1,1,1,1,0,0,0.1,5,5,3
364,0,1,0,0,0,1,1,0,0.2,30,0.1,5,10,0
365,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
366,0,0,0,0,0,0,1,0,0.2,0,0.1,3,10,0
367,1,1,0,0,0,0,0,1,0.2,30,0.1,3,10,2
368,1,1,1,1,1,1,1,1,0,30,0.1,3,5,4
369,1,0,0,0,0,0,1,1,0,0,0.1,5,5,1
370,0,1,0,0,0,1,1,0,0.2,0,0.25,5,10,0
371,1,0,0,0,0,0,0,0,0,0,0.25,5,5,2
372,1,1,1,1,1,1,1,1,0,30,0.25,5,5,5
373,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
374,1,1,1,1,1,1,1,1,0,30,0.25,5,5,2
375,1,1,1,1,1,1,1,1,0.2,30,0.25,5,10,5
376,1,1,1,0,1,1,1,1,0.2,0,0.25,3,5,2
377,1,1,1,1,1,1,1,1,0,0,0.1,5,5,3
378,1,1,0,0,1,0,0,1,0,30,0.1,3,5,3
379,1,1,0,1,1,1,1,1,0.2,0,0.25,5,10,5
380,0,1,0,0,0,0,1,0,0,30,0.1,5,10,0
381,1,1,0,0,1,1,1,0,0,30,0.1,5,5,3
382,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
383,1,1,0,0,1,0,0,0,0,30,0.25,3,5,4
384,1,1,1,1,1,1,1,1,0,30,0.1,3,5,5
385,0,1,0,0,0,0,1,0,0,30,0.25,5,10,0
386,1,1,0,0,1,0,1,1,0.2,0,0.25,5,10,3
387,1,1,1,1,1,1,1,1,0,30,0.25,3,10,4
388,1,1,0,0,1,0,0,0,0,0,0.25,3,5,1
389,1,1,1,1,1,1,1,0,0.2,30,0.25,3,10,1
390,0,0,0,0,0,0,0,0,0,30,0.1,5,5,0
391,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
392,1,1,1,1,1,1,1,0,0.2,30,0.25,3,10,1
393,0,0,0,0,0,0,0,0,0.2,30,0.1,5,5,0
